Name,EC,QR,IN,OM,W,Tp,N,MA,TA,A,AD,PR,Type,Parent
Mercury,0.205649047622,0.307491626176,7.003227713415,48.293501803226,29.209618660568,2462498.456337250000,4.092350292610,16.548084432810,25.380273325008,0.387097951170,0.466704276165,87.969009067992,Planet,Sun
Venus,0.006763768197,0.718452603257,3.394486187633,76.597810750443,54.881702622119,2462523.818008560000,1.602087572960,325.846683401180,325.408490730225,0.723345142125,0.728237680992,224.706817577308,Planet,Sun
Earth,0.017042397181,0.983323099871,0.000266880934,163.974871243006,297.767179541590,2451546.338324730000,0.985059679646,358.189140424020,358.126086547480,1.000371833994,1.017420568118,365.460090833632,Planet,Sun
Mars,0.093351609877,1.381398567974,1.847363345037,49.472359995772,286.785985069412,2462500.053268070000,0.524063585555,1.282243108036,1.553040833568,1.523632075039,1.665865582103,686.939543068824,Planet,Sun
Jupiter,0.048100001532,4.953120297778,1.303719325635,100.517809208359,273.728233658589,2464301.106199410000,0.083076834054,210.577491242180,207.912797423682,5.203404040076,5.453687782375,4333.337976811800,Planet,Sun
Saturn,0.053306841522,9.010900822498,2.486906948261,113.653542984356,340.056013817973,2463604.496159290000,0.033568170493,323.008005042626,319.129360447105,9.518290844081,10.025680865663,10724.445053689400,Planet,Sun
Uranus,0.048061705123,18.249932565202,0.771929579329,74.014907850217,98.134962632545,2470191.361801570000,0.011741804766,269.718885851784,264.221555149313,19.171339847771,20.092747130339,30659.681979789000,Planet,Sun
Neptune,0.007078859313,29.817376724068,1.770526459577,131.791157618929,273.289935339803,2468306.230826230000,0.005989398991,325.239140447686,324.773265006085,30.029954547471,30.242532370874,60106.197727926300,Planet,Sun
Pluto,0.248128334903,29.514123885480,16.968423949051,110.084604851471,112.706691395696,2447624.721906440000,0.004007511793,59.622871166424,87.511395056630,39.254204215368,48.994284545257,89831.301460312000,Dwarf,Sun
1 Ceres,0.079410983975,2.546664326882,10.583891964998,80.174035118754,72.294762760465,2463275.749806500000,0.214212692426,194.360077030272,192.302210344160,2.766342290155,2.986020253428,1680.572686533980,Dwarf,Sun
136199 Eris,0.440367235677,37.900310444953,44.134550901001,35.925383802699,151.404866670141,2545635.281594230000,0.001768457479,212.983210612332,194.511651240276,67.723537400159,97.546764355366,203567.235406070000,Dwarf,Sun
90377 Sedna,0.846866692370,76.127122958599,11.927474718125,144.436755826850,311.459911304818,2479468.870733730000,0.000088919998,358.491350351698,327.472974843205,497.129750130099,918.132377301600,4048583.096161560000,TNO,Sun
2007 OR10,0.505017380252,33.214195737285,30.852014836654,336.838559530896,207.119384058640,2399554.543960410000,0.001793095364,112.871688135816,152.488390702533,67.101741378671,100.989287020057,200770.135970525000,TNO,Sun
Makemake,0.155921068156,38.551670919164,28.983845704844,79.530409114050,295.839948994935,2407520.719897190000,0.003193109820,175.562861953539,176.719123702332,45.673063815175,52.794456711185,112742.755596272000,TNO,Sun
Haumea,0.191309928571,35.005788040881,28.204012956936,121.958643929812,239.006153429462,2500197.257888230000,0.003460727886,229.548700231261,215.262270754477,43.287025867696,51.568263694511,104024.359004628000,TNO,Sun
